Name,Count
God,19
Laughter,19
Ryan,14
Xi,11
Scout,9
Maduro,9
Obama,8
Mike,8
Kim,8
Matt,8
John,7
Tim,7
Kevin,7
Trump,6
Paul,6
Mitch,6
Steve,6
Allen,6
Alice,6
Donald Trump,5
Otto,5
Jim,5
Nancy Pelosi,5
Chris,5
Josh,5
Abe,5
Bob,4
Rick,4
Kevin McCarthy,4
John Cornyn,4
Klaus,4
Kim Jong Un,4
Joshua,4
Jenna,3
God Bless,3
Scott,3
William Levitt,3
Ronald Reagan,3
Steve Scalise,3
