Name,Count
America,451
Bosnia,61
the United States,57
Kosovo,40
Somalia,32
Washington,31
Russia,26
China,24
Northern Ireland,24
Rwanda,18
California,15
Serbia,14
Israel,13
Haiti,13
Chicago,13
The United States,11
Ghana,11
Berlin,10
Mexico,10
the United States of America,9
Florida,9
Arkansas,9
Belfast,8
South Africa,7
Oklahoma City,7
Iraq,7
New Jersey,6
New York,6
Los Angeles,6
Japan,6
Texas,5
Oklahoma,5
Vietnam,5
Tennessee,5
Ukraine,5
Sarajevo,5
Minnesota,5
USA,5
Nunn,4
