Name,Count
people,483
world,333
country,266
nation,234
freedom,207
government,193
war,163
years,161
terrorists,161
citizens,152
job,141
children,140
life,137
health,137
tax,136
peace,133
work,131
year,130
security,130
way,122
terror,121
nations,119
women,116
economy,115
weapons,112
men,109
lives,100
law,95
power,93
liberty,90
forces,88
workers,86
care,85
regime,84
history,82
democracy,81
hope,81
troops,75
system,75
