Name,Count
America,575
Iraq,127
Afghanistan,120
Israel,117
the United States,109
Washington,97
the United States of America,68
Iran,55
Cuba,45
Pakistan,41
China,34
Syria,20
North Africa,17
Egypt,16
Ohio,15
New York,15
Russia,15
Newtown,14
Palestine,13
Libya,13
The United States,12
Cairo,11
California,11
Tucson,11
Tunisia,11
Connecticut,11
Chicago,10
Florida,10
South Korea,9
India,9
Sasha,8
Selma,8
Jerusalem,8
the United Kingdom,8
Illinois,7
Colorado,7
Germany,7
Gaza,7
Arizona,7
