Name,Count
America,220
the United States,118
China,65
Iran,47
The United States,31
Venezuela,25
North Korea,23
Mexico,20
Washington,16
Russia,16
Syria,16
Ukraine,14
Israel,14
California,11
Texas,11
Japan,11
Afghanistan,10
West Virginia,9
Wisconsin,9
Michigan,9
New Hampshire,9
the United States of America,8
Pennsylvania,8
Ohio,8
Florida,8
Iraq,8
Poland,8
South Korea,7
New York,7
Jerusalem,7
El Paso,7
North Carolina,6
Yemen,6
Saudi Arabia,6
Vietnam,6
India,6
UK,6
Honduras,6
El Salvador,6
