Name,Count
God,63
Assad,28
Michelle,21
John McCain,19
Osama bin Laden,17
Laughter,17
Sonia,14
bin Laden,12
Alan,12
Bush,11
John Boehner,10
Biden,9
Sotomayor,9
Mitch McConnell,9
Speaker,9
Pinckney,9
Ben,8
Joe Biden,7
McCain,7
Kennedy,7
Romney,7
Trayvon Martin,7
King,6
John,6
Natoma,6
John Lewis,6
Castro,6
George Bush,5
Bill Clinton,5
Moon,5
Roosevelt,5
Jill Biden,5
Boehner,5
Martin Luther King,5
Cory,5
Selma,5
Ted Kennedy,4
George W. Bush,4
John F. Kennedy,4
