Name,Count
God,26
Hillary,20
Brady,15
Gore,14
Kennedy,14
Speaker,14
Martin Luther King,14
Robert Kennedy,12
Milosevic,10
Dole,7
Thomas Jefferson,5
Johnston,5
Roosevelt,5
Truman,5
Bush,4
Mitchell,4
Head Start,4
Rabin,4
Harry Truman,4
Richard,4
Jack Lucas,4
McCaffrey,4
Bob Dole,4
Feinstein,4
Tipper Gore,4
Ford,3
Nixon,3
Colin Powell,3
Eisenhower,3
Clinton,3
Theodore Roosevelt,3
John,3
Keating,3
Pell,3
Lincoln,3
Johnson,3
Croats,3
Richard Dean,3
Kyl,3
